कार्यक्रमको नाम,बार्षिक बजेट,खर्च रु. हजार
खानेपानी तथा ढल निकास विभाग,३२३००,०
खानेपानी तथा गुणस्तर सुधार कार्यक्रम,१९५०००,१२१६२
ग्रामीण खानेपानी तथा सरसफाइ कोष,३०००००,७३३८६
मेलम्ची खानेपानी आयोजना,५२४१३००,१७९३६७५
दोस्रो साना सहरी खानेपानी तथासरसफाइ आयोजना ,९५३०१४,१९९३६४
ग्रामीण खानेपानी आयोजना (हेल्भेटास),२००००,८६०६
खानेपानी तथा सरसफाइ कार्यक्रम,२५५११४५,११६३९५
खानेपानी उत्पादन वृद्धि कार्यक्रम  ,१४५०००,
खानेपानी तथा ढल निकास कार्यक्रम  ,६५०००,
काठमाडौँ उपत्यका खानेपानी तथा सरसफाइ निर्देशनालय,६१२४००,७९२०४
काठमाण्डौ उपत्यका खानेपानी सुधार आयोजना,२०२८१००,६३०१२
काठमाडौँ उपत्यका खानेपानी सेवा क्षेत्र विकास कार्यक्रम ,३९७०३२,
