Municipality,Composition,Percent of of Commercial Waste
Amargadhi,Organic Waste,35.13
Amargadhi,Plastics,19.28
Amargadhi,Paper and Paper Products,27.43
Amargadhi,Glass,15.11
Amargadhi,Metals,2.92
Amargadhi,Textiles,0.03
Amargadhi,Rubber and Leather,0.12
Amargadhi,Others,0
Baglung,Organic Waste,41.14
Baglung,Plastics,14.96
Baglung,Paper and Paper Products,26.91
Baglung,Glass,13.67
Baglung,Metals,1.37
Baglung,Textiles,0.38
Baglung,Rubber and Leather,0.53
Baglung,Others,1.04
Banepa,Organic Waste,41.28
Banepa,Plastics,17.47
Banepa,Paper and Paper Products,23.89
Banepa,Glass,8.08
Banepa,Metals,2.62
Banepa,Textiles,0
Banepa,Rubber and Leather,0.81
Banepa,Others,5.86
Bhadrapur,Organic Waste,24.35
Bhadrapur,Plastics,61.71
Bhadrapur,Paper and Paper Products,11.99
Bhadrapur,Glass,0
Bhadrapur,Metals,0
Bhadrapur,Textiles,0
Bhadrapur,Rubber and Leather,0
Bhadrapur,Others,1.95
Bhaktapur,Organic Waste,38.73
Bhaktapur,Plastics,21.29
Bhaktapur,Paper and Paper Products,18.03
Bhaktapur,Glass,2.14
Bhaktapur,Metals,6.2
Bhaktapur,Textiles,0.73
Bhaktapur,Rubber and Leather,0.37
Bhaktapur,Others,12.51
Bharatpur,Organic Waste,56.76
Bharatpur,Plastics,8.73
Bharatpur,Paper and Paper Products,23.7
Bharatpur,Glass,6.46
Bharatpur,Metals,0.95
Bharatpur,Textiles,3.09
Bharatpur,Rubber and Leather,0
Bharatpur,Others,0.32
Bhimdatta,Organic Waste,34.41
Bhimdatta,Plastics,21.71
Bhimdatta,Paper and Paper Products,19.46
Bhimdatta,Glass,2.26
Bhimdatta,Metals,1.51
Bhimdatta,Textiles,7.31
Bhimdatta,Rubber and Leather,0.89
Bhimdatta,Others,12.45
Bhimeshwor,Organic Waste,25.04
Bhimeshwor,Plastics,35.2
Bhimeshwor,Paper and Paper Products,16.66
Bhimeshwor,Glass,5.79
Bhimeshwor,Metals,0
Bhimeshwor,Textiles,0.21
Bhimeshwor,Rubber and Leather,0
Bhimeshwor,Others,17.12
Bidur,Organic Waste,53.03
Bidur,Plastics,22.43
Bidur,Paper and Paper Products,17.02
Bidur,Glass,5.73
Bidur,Metals,0.77
Bidur,Textiles,0.98
Bidur,Rubber and Leather,0.05
Bidur,Others,0
Biratnagar SMPC,Organic Waste,58.53
Biratnagar SMPC,Plastics,18.86
Biratnagar SMPC,Paper and Paper Products,19.11
Biratnagar SMPC,Glass,0
Biratnagar SMPC,Metals,0
Biratnagar SMPC,Textiles,0
Biratnagar SMPC,Rubber and Leather,2.18
Biratnagar SMPC,Others,1.32
Birendranagar,Organic Waste,25.07
Birendranagar,Plastics,6.01
Birendranagar,Paper and Paper Products,9.98
Birendranagar,Glass,39.59
Birendranagar,Metals,0.58
Birendranagar,Textiles,9.3
Birendranagar,Rubber and Leather,7.71
Birendranagar,Others,1.77
Birgunj SMPC,Organic Waste,34.65
Birgunj SMPC,Plastics,19.15
Birgunj SMPC,Paper and Paper Products,31.77
Birgunj SMPC,Glass,8.81
Birgunj SMPC,Metals,2.58
Birgunj SMPC,Textiles,0
Birgunj SMPC,Rubber and Leather,0
Birgunj SMPC,Others,3.04
Butwal,Organic Waste,41.08
Butwal,Plastics,20.77
Butwal,Paper and Paper Products,19.67
Butwal,Glass,6.67
Butwal,Metals,1.6
Butwal,Textiles,0
Butwal,Rubber and Leather,0
Butwal,Others,10.21
Byas,Organic Waste,47.24
Byas,Plastics,15.85
Byas,Paper and Paper Products,21.56
Byas,Glass,5.98
Byas,Metals,3.19
Byas,Textiles,3.43
Byas,Rubber and Leather,1.19
Byas,Others,1.55
Damak,Organic Waste,52.04
Damak,Plastics,11.34
Damak,Paper and Paper Products,17.48
Damak,Glass,0.64
Damak,Metals,6.44
Damak,Textiles,0.35
Damak,Rubber and Leather,3.02
Damak,Others,8.7
Dasharathchanda,Organic Waste,24.04
Dasharathchanda,Plastics,16.56
Dasharathchanda,Paper and Paper Products,35.37
Dasharathchanda,Glass,1.23
Dasharathchanda,Metals,6.84
Dasharathchanda,Textiles,3.51
Dasharathchanda,Rubber and Leather,2.71
Dasharathchanda,Others,9.75
Dhangadhi,Organic Waste,22.78
Dhangadhi,Plastics,27.5
Dhangadhi,Paper and Paper Products,12.15
Dhangadhi,Glass,14.71
Dhangadhi,Metals,4.7
Dhangadhi,Textiles,3.1
Dhangadhi,Rubber and Leather,5.56
Dhangadhi,Others,9.5
Dhankuta,Organic Waste,37.93
Dhankuta,Plastics,17.42
Dhankuta,Paper and Paper Products,21.07
Dhankuta,Glass,0
Dhankuta,Metals,4.16
Dhankuta,Textiles,8.15
Dhankuta,Rubber and Leather,0
Dhankuta,Others,11.28
Dharan,Organic Waste,25.57
Dharan,Plastics,18.27
Dharan,Paper and Paper Products,17.09
Dharan,Glass,7.99
Dharan,Metals,6.76
Dharan,Textiles,4.23
Dharan,Rubber and Leather,0
Dharan,Others,20.09
Dhulikhel,Organic Waste,67.18
Dhulikhel,Plastics,14.36
Dhulikhel,Paper and Paper Products,7.18
Dhulikhel,Glass,8.24
Dhulikhel,Metals,0
Dhulikhel,Textiles,0
Dhulikhel,Rubber and Leather,0
Dhulikhel,Others,3.04
Dipayal Silgadhi,Organic Waste,27.95
Dipayal Silgadhi,Plastics,32.41
Dipayal Silgadhi,Paper and Paper Products,17.25
Dipayal Silgadhi,Glass,17.47
Dipayal Silgadhi,Metals,2.05
Dipayal Silgadhi,Textiles,0
Dipayal Silgadhi,Rubber and Leather,2.87
Dipayal Silgadhi,Others,0
Gaur,Organic Waste,46.32
Gaur,Plastics,9.68
Gaur,Paper and Paper Products,15.44
Gaur,Glass,0
Gaur,Metals,0
Gaur,Textiles,0
Gaur,Rubber and Leather,0
Gaur,Others,28.57
Ghorahi,Organic Waste,40.49
Ghorahi,Plastics,22.51
Ghorahi,Paper and Paper Products,21.44
Ghorahi,Glass,6.64
Ghorahi,Metals,2.56
Ghorahi,Textiles,0
Ghorahi,Rubber and Leather,1.44
Ghorahi,Others,4.92
Gorkha,Organic Waste,51.46
Gorkha,Plastics,26.69
Gorkha,Paper and Paper Products,13.5
Gorkha,Glass,0
Gorkha,Metals,3.95
Gorkha,Textiles,0
Gorkha,Rubber and Leather,0
Gorkha,Others,4.4
Gulariya,Organic Waste,18.08
Gulariya,Plastics,37.19
Gulariya,Paper and Paper Products,29.7
Gulariya,Glass,2.52
Gulariya,Metals,0.47
Gulariya,Textiles,0
Gulariya,Rubber and Leather,0.56
Gulariya,Others,11.5
Hetuda,Organic Waste,31.64
Hetuda,Plastics,28.3
Hetuda,Paper and Paper Products,18.44
Hetuda,Glass,6.15
Hetuda,Metals,6.05
Hetuda,Textiles,0.83
Hetuda,Rubber and Leather,0
Hetuda,Others,8.59
Ilam,Organic Waste,56.13
Ilam,Plastics,14.04
Ilam,Paper and Paper Products,11.73
Ilam,Glass,2.41
Ilam,Metals,5.05
Ilam,Textiles,3.04
Ilam,Rubber and Leather,4.11
Ilam,Others,3.5
Inaruwa,Organic Waste,45.37
Inaruwa,Plastics,9.02
Inaruwa,Paper and Paper Products,13.26
Inaruwa,Glass,0
Inaruwa,Metals,1.09
Inaruwa,Textiles,0
Inaruwa,Rubber and Leather,0
Inaruwa,Others,31.27
Itahari,Organic Waste,23.13
Itahari,Plastics,36.17
Itahari,Paper and Paper Products,30.41
Itahari,Glass,0.53
Itahari,Metals,2.52
Itahari,Textiles,2.63
Itahari,Rubber and Leather,0
Itahari,Others,4.61
Jaleshwor,Organic Waste,38.23
Jaleshwor,Plastics,51
Jaleshwor,Paper and Paper Products,7.85
Jaleshwor,Glass,0
Jaleshwor,Metals,0
Jaleshwor,Textiles,0
Jaleshwor,Rubber and Leather,2.92
Jaleshwor,Others,0
Janakpur,Organic Waste,38.62
Janakpur,Plastics,22.82
Janakpur,Paper and Paper Products,28.38
Janakpur,Glass,0
Janakpur,Metals,0
Janakpur,Textiles,0.61
Janakpur,Rubber and Leather,1.52
Janakpur,Others,8.06
Kalaiya,Organic Waste,44.07
Kalaiya,Plastics,23.69
Kalaiya,Paper and Paper Products,20.41
Kalaiya,Glass,0
Kalaiya,Metals,2.26
Kalaiya,Textiles,0
Kalaiya,Rubber and Leather,0
Kalaiya,Others,9.57
Kamalamai,Organic Waste,37.54
Kamalamai,Plastics,17.04
Kamalamai,Paper and Paper Products,29.36
Kamalamai,Glass,7.07
Kamalamai,Metals,1.02
Kamalamai,Textiles,0
Kamalamai,Rubber and Leather,0
Kamalamai,Others,7.96
Kapilvastu,Organic Waste,46.04
