Municipality,Composition,Percent of Industrial Waste
Amargadhi,Organic Waste,13.36
Amargadhi,Plastics,13.14
Amargadhi,Paper and Paper Products,63.74
Amargadhi,Glass,1.12
Amargadhi,Metals,5.68
Amargadhi,Textiles,0.98
Amargadhi,Rubber and Leather,1.06
Amargadhi,Others,0.92
Baglung,Organic Waste,25.7
Baglung,Plastics,22.67
Baglung,Paper and Paper Products,46.96
Baglung,Glass,0.41
Baglung,Metals,0.99
Baglung,Textiles,0.34
Baglung,Rubber and Leather,0.04
Baglung,Others,2.9
Banepa,Organic Waste,15.13
Banepa,Plastics,31.17
Banepa,Paper and Paper Products,42.75
Banepa,Glass,2.47
Banepa,Metals,3.9
Banepa,Textiles,0.24
Banepa,Rubber and Leather,4.33
Banepa,Others,0
Bhadrapur,Organic Waste,16.52
Bhadrapur,Plastics,5.72
Bhadrapur,Paper and Paper Products,77.76
Bhadrapur,Glass,0
Bhadrapur,Metals,0
Bhadrapur,Textiles,0
Bhadrapur,Rubber and Leather,0
Bhadrapur,Others,0
Bhaktapur,Organic Waste,30.35
Bhaktapur,Plastics,18.77
Bhaktapur,Paper and Paper Products,29.35
Bhaktapur,Glass,2.95
Bhaktapur,Metals,3.15
Bhaktapur,Textiles,3.46
Bhaktapur,Rubber and Leather,1.68
Bhaktapur,Others,10.29
Bharatpur,Organic Waste,30.84
Bharatpur,Plastics,18.89
Bharatpur,Paper and Paper Products,49.37
Bharatpur,Glass,0
Bharatpur,Metals,0.38
Bharatpur,Textiles,0
Bharatpur,Rubber and Leather,0.3
Bharatpur,Others,0.22
Bhimdatta,Organic Waste,24.3
Bhimdatta,Plastics,12.05
Bhimdatta,Paper and Paper Products,32.63
Bhimdatta,Glass,0.42
Bhimdatta,Metals,0.41
Bhimdatta,Textiles,0.92
Bhimdatta,Rubber and Leather,1.19
Bhimdatta,Others,28.08
Bhimeshwor,Organic Waste,11.74
Bhimeshwor,Plastics,4.97
Bhimeshwor,Paper and Paper Products,46.21
Bhimeshwor,Glass,0
Bhimeshwor,Metals,0.12
Bhimeshwor,Textiles,0.12
Bhimeshwor,Rubber and Leather,0
Bhimeshwor,Others,36.83
Bidur,Organic Waste,15.17
Bidur,Plastics,24.54
Bidur,Paper and Paper Products,55.53
Bidur,Glass,0
Bidur,Metals,1.49
Bidur,Textiles,1.49
Bidur,Rubber and Leather,1.79
Bidur,Others,0
Biratnagar SMPC,Organic Waste,41.56
Biratnagar SMPC,Plastics,19.48
Biratnagar SMPC,Paper and Paper Products,35.49
Biratnagar SMPC,Glass,0
Biratnagar SMPC,Metals,1.54
Biratnagar SMPC,Textiles,0.39
Biratnagar SMPC,Rubber and Leather,0
Biratnagar SMPC,Others,1.54
Birendranagar,Organic Waste,24.62
Birendranagar,Plastics,21.84
Birendranagar,Paper and Paper Products,51.41
Birendranagar,Glass,1.78
Birendranagar,Metals,0.03
Birendranagar,Textiles,0.2
Birendranagar,Rubber and Leather,0
Birendranagar,Others,0.12
Birgunj SMPC,Organic Waste,16.99
Birgunj SMPC,Plastics,21.54
Birgunj SMPC,Paper and Paper Products,50.18
Birgunj SMPC,Glass,0
Birgunj SMPC,Metals,0
Birgunj SMPC,Textiles,0
Birgunj SMPC,Rubber and Leather,0
Birgunj SMPC,Others,11.29
Butwal,Organic Waste,24.48
Butwal,Plastics,17.32
Butwal,Paper and Paper Products,29.55
Butwal,Glass,0
Butwal,Metals,0.35
Butwal,Textiles,2.36
Butwal,Rubber and Leather,2.58
Butwal,Others,23.37
Byas,Organic Waste,42.11
Byas,Plastics,21.02
Byas,Paper and Paper Products,29.9
Byas,Glass,1.63
Byas,Metals,0.69
Byas,Textiles,0.72
Byas,Rubber and Leather,0.61
Byas,Others,3.33
Damak,Organic Waste,38.04
Damak,Plastics,12.16
Damak,Paper and Paper Products,20.95
Damak,Glass,0.02
Damak,Metals,8
Damak,Textiles,1.66
Damak,Rubber and Leather,0.61
Damak,Others,18.56
Dasharathchanda,Organic Waste,10.2
Dasharathchanda,Plastics,11.16
Dasharathchanda,Paper and Paper Products,36.31
Dasharathchanda,Glass,7.97
Dasharathchanda,Metals,12.71
Dasharathchanda,Textiles,5.44
Dasharathchanda,Rubber and Leather,5.01
Dasharathchanda,Others,11.21
Dhangadhi,Organic Waste,16.36
Dhangadhi,Plastics,17.59
Dhangadhi,Paper and Paper Products,50.89
Dhangadhi,Glass,0.73
Dhangadhi,Metals,1.99
Dhangadhi,Textiles,0.27
Dhangadhi,Rubber and Leather,0
Dhangadhi,Others,12.17
