districts,Zone,Geographical Region,Development Region,total_no_of_community_schools,total_no_of_schools_with_toilet_facilities,percentage_of_schools_with_toilet_facilities,total_no_of_toilet_facilities_inclusive_of_each_toilet_item,total_no_of_toilets_for_girl_students_with_items_facilities,percentage_of_separate_toilets_for_girls_with_items_facilities,total_students_boys_and_girls,toilet_to_student_ratio,percentage_of_schools_with_separate_toilets_for_girls,districts_ranked_by_girl_students_access_to_school_sanitation
Morang,Kosi,Terai,Eastern,535,517,97,2311,879,38,216862,1:94,74,1
Chitawan,Narayani,Terai,Central,381,364,96,1592,587,37,98607,1:62,70,2
Dhanusa,Janakpur,Terai,Central,316,215,68,512,250,49,151538,1:296,66,3
Kaski,Gandaki,Hill,Western,439,411,94,1377,477,35,66599,1:48,65,4
Kathmandu,Bagmati,Hill,Central,299,213,71,1014,456,45,101093,1:100,64,5
Baglung,Dhawalagiri,Hill,Western,528,448,85,1280,473,37,85822,1:67,63,6
Bardiya,Bheri,Terai,Mid-Western,288,255,89,1159,408,35,122410,1:106,62,7
Jhapa,Mechi,Terai,Eastern,407,361,89,1471,503,34,139752,1:95,61,8
Bhaktapur,Bagmati,Hill,Central,137,123,90,461,150,33,21283,1:46,58,9
Ilam,Mechi,Hill,Eastern,433,362,84,920,321,35,70557,1:77,58,10
Kailali,Seti,Terai,Far-Western,508,412,81,1717,616,36,199475,1:116,58,11
Tanahu,Gandaki,Hill,Western,558,411,74,1081,424,39,77912,1:72,58,12
Lalitpur,Bagmati,Hill,Central,207,182,88,634,206,32,41231,1:65,57,13
Kanchanpur,Mahakali,Terai,Far-Western,262,215,82,829,287,35,117333,1:142,57,14
Rautahat,Narayani,Terai,Central,393,248,63,774,339,44,170062,1:220,55,15
Dadeldhura,Mahakali,Hill,Far-Western,243,164,67,415,165,40,44748,1:108,54,16
Banke,Bheri,Terai,Mid-Western,303,206,68,694,264,38,112601,1:162,52,17
Dang,Rapti,Terai,Mid-Western,389,279,72,849,306,36,129702,1:153,52,18
Parsa,Narayani,Terai,Central,315,203,64,575,230,40,133249,1:232,52,19
Bajhang,Seti,Mountain,Far-Western,430,201,47,555,295,53,73064,1:132,50,20
Sunsari,Kosi,Terai,Eastern,482,312,65,1111,423,38,155045,1:140,49,21
Mahottari,Janakpur,Terai,Central,306,179,58,397,165,42,145085,1:365,49,22
Makwanpur,Narayani,Hill,Central,522,337,65,936,352,38,117205,1:125,49,23
Okhaldhunga,Sagarmatha,Hill,Eastern,349,252,72,518,172,33,55611,1:107,48,24
Parbat,Dhawalagiri,Hill,Western,336,285,85,797,217,27,46536,1:58,46,25
Kavre,Bagmati,Hill,Central,587,443,75,1396,425,30,102633,1:74,46,26
Terhathum,Kosi,Hill,Eastern,240,173,72,421,134,32,41732,1:99,46,27
Gulmi,Lumbini,Hill,Western,554,394,71,11110,350,3,93707,1:84,45,28
Dolpa,Karnali,Mountain,Mid-Western,118,72,61,162,58,36,9783,1:60,44,29
Rupandehi,Lumbini,Terai,Western,351,231,66,1022,339,33,145462,1:142,44,30
Nuwakot,Bagmati,Hill,Central,475,328,69,801,248,31,72792,1:91,43,31
Panchthar,Mechi,Hill,Eastern,391,285,73,634,181,29,73270,1:116,42,32
Mustang,Dhawalagiri,Mountain,Western,61,52,85,128,31,24,2152,1:17,41,33
Arghakhanchi,Lumbini,Hill,Western,406,242,60,565,195,35,64611,1:14,41,34
Palpa,Lumbini,Hill,Western,451,385,85,1059,251,24,83332,1:79,40,35
