Municipality,Category ,Year,NRs million
Amargadhi,Total Municipal Budget  ,FY2011,50.15
Amargadhi,Total Municipal Budget  ,,61.04
Amargadhi,Total Municipal Budget  ,FY2013,60.47
Amargadhi,Total SWM Budget  ,FY2011,0.71
Amargadhi,Total  SWM Budget  ,,0.71
Amargadhi,Total SWM Budget  ,FY2013,0.78
Baglung,Total Municipal Budget  ,FY2011,71.21
Baglung,Total Municipal Budget  ,,65
Baglung,Total Municipal Budget  ,FY2013,70.23
Baglung,Total SWM Budget  ,FY2011,10.74
Baglung,Total  SWM Budget  ,,2.56
Baglung,Total SWM Budget  ,FY2013,5.27
Banepa,"Total Municipal Budget 
 ",FY2011,...
Banepa,Total Municipal Budget  ,,...
Banepa,Total Municipal Budget  ,FY2013,86
Banepa,Total SWM Budget  ,FY2011,...
Banepa,Total  SWM Budget  ,,4.61
Banepa,Total SWM Budget  ,FY2013,5.1
Bhadrapur,Total Municipal Budget  ,FY2011,55.85
Bhadrapur,Total Municipal Budget  ,,89.93
Bhadrapur,Total Municipal Budget  ,FY2013,125.32
Bhadrapur,Total SWM Budget  ,FY2011,1.47
Bhadrapur,Total  SWM Budget  ,,1.41
Bhadrapur,Total SWM Budget  ,FY2013,1.85
Bhaktapur,Total Municipal Budget  ,FY2011,255.83
Bhaktapur,Total Municipal Budget  ,,272.11
Bhaktapur,Total Municipal Budget  ,FY2013,385
Bhaktapur,Total SWM Budget  ,FY2011,48
Bhaktapur,Total  SWM Budget  ,,55.43
Bhaktapur,Total SWM Budget  ,FY2013,53.7
Bharatpur,"Total Municipal Budget 
 ",FY2011,...
Bharatpur,Total Municipal Budget  ,,...
Bharatpur,Total Municipal Budget  ,FY2013,...
Bharatpur,Total SWM Budget  ,FY2011,...
Bharatpur,Total  SWM Budget  ,,...
Bharatpur,Total SWM Budget  ,FY2013,...
Bhimdatta,"Total Municipal Budget 
 ",FY2011,...
Bhimdatta,Total Municipal Budget  ,,...
Bhimdatta,Total Municipal Budget  ,FY2013,...
Bhimdatta,Total SWM Budget  ,FY2011,5.5
Bhimdatta,Total  SWM Budget  ,,5.5
Bhimdatta,Total SWM Budget  ,FY2013,5.5
Bhimeshwor,"Total Municipal Budget 
 ",FY2011,48.66
Bhimeshwor,Total Municipal Budget  ,,58.14
Bhimeshwor,Total Municipal Budget  ,FY2013,51.06
Bhimeshwor,Total SWM Budget  ,FY2011,0.9
Bhimeshwor,Total  SWM Budget  ,,1.12
Bhimeshwor,Total SWM Budget  ,FY2013,0.9
Bidur,"Total Municipal Budget 
 ",FY2011,62.1
Bidur,Total Municipal Budget  ,,52.8
Bidur,Total Municipal Budget  ,FY2013,68.05
Bidur,Total SWM Budget  ,FY2011,2.45
Bidur,Total  SWM Budget  ,,2.7
Bidur,Total SWM Budget  ,FY2013,4.2
